abstract_symbol	abstract:amUrwa symbol:prawIka
acceleration_period	acceleration:wvaraNa period:avaXi
acceleration_time	acceleration:wvaraNa time:kAla
acceptance_test	acceptance:svIkaraNa test:parIkRaNa
access_arrangement	access:aBigama arrangement:vyavasWA
access_authority	access:aBigama authority:prAXikAra
access_charge	access:aBigama charge:Sulka
access_class	access:aBigama class:varga
access_environment	access:aBigama environment:pariveSa
access_gap	access:aBigama gap:anwarAla
access_index	access:aBigama index:sUcaka
access_line	access:aBigama line:lAina
access_method	access:aBigama method:viXi
access_right	access:aBigama right:aXikAra
access_time	access:aBigama time:kAla
accounting_finance_system	accounting:leKAkArya finance:viwwa system:wanwra
accounting_machine	accounting:leKA machine:yanwra
account_number	account:KAwA number:safKyA
accuracy_control_character	accuracy:pariSuxXawA control:niyanwraNa character:samprawIka character:samprawIka
accuracy_control_system	accuracy:pariSuxXawA control:niyanwraNa system:wanwra
action_cycle	action:kriyA cycle:cakra
action_line	action:kriyA line:lAina
action_message	action:kriyA message:sanxeSa
active_line	active:sakriya line:lAina
active_link	active:sakriya link:kadI
active_master_item	active:sakriya master:praXAna item:maxa
active_satellite	active:sakriya satellite:upagraha
active_station	active:sakriya station:keMxra
active_storage	active:sakriya storage:BaNdAraNa
activity_level	activity:sakriyawA level:swara
activity_loading	activity:sakriyawA loading:BAraNa
activity_ratio	activity:sakriyawA ratio:anupAwa
actual_decimal_point	actual:vAswavika decimal:xaSamalava point:biMxu
actual_key	actual:vAswavika key:kuFjI
actual_time	actual:vAswavika time:kAla
actual_work_time	actual:vAswavika work:kArya time:kAla
addition_table	addition:yoga table:sAraNI
additive_attribute	additive:yojya attribute:guNa
addressable_point	addressable:pawAyogya point:biMxu
addressable_position	addressable:pawAyogya position:sWiwi
addressable_storage	addressable:pawAyogya storage:BaNdAraNa
address_bus	address:pawA bus:basa
address_code	address:pawA code:kUta
address_comparator	address:pawA comparator:wulaniwra
address_computation	address:pawA computation:aBikalana
address_conversion	address:pawA conversion:rUpAnwaraNa
address_data	address:pawA data:Azkade
address_effective	address:pawA effective:praBAvI
address_field	address:pawA field:kRewra
address_format	address:pawA format:saMrUpa
addressing_character	addressing:pawABigamana character:samprawIka character:samprawIka
addressing_loop	addressing:pawABigamana loop:pASa
addressing_virtual_memory	addressing:pawABigamana virtual:ABAsI memory:smqwi
address_line	address:pawA line:lAina
address_mapping	address:pawA mapping:prawiciwraNa
address_mark	address:pawA mark:cihna
address_part	address:pawA part:BAga
address_pointer	address:pawA pointer:safkewaka
address_signal	address:pawA signal:safkewa
address_space	address:pawA space:sWAna
address_space_identifier	address:pawA space:sWAna identifier:aBijFApaka
address_stop	address:pawA stop:virAma
address_trace	address:pawA trace:anureKa
address_track	address:pawA track:mArga
address_translation	address:pawA translation:anuvAxa
address_translator	address:pawA translator:anuvAxaka
adjacency_structure	adjacency:saMlagnawA structure:saMracanA
administrative_operator	administrative:praSAsanika operator:pracAlaka
advanced_communication_service	advanced:unnawa communication:saFcAra service:sevA
advanced_information_system	advanced:unnawa information:sUcanA system:wanwra
advanced_scientific_computer	advanced:unnawa scientific:vEjFAnika computer:aBikaliwra
airborne_computer_system	airborne:vAyuvAhiwa computer:aBikaliwra system:wanwra
algol_feature	algol:ElgoYla feature:lakRaNa
alphanumeric_character_set	alphanumeric:akRarAfkIya character:samprawIka character:samprawIka set:samuccaya
alphanumeric_code	alphanumeric:akRarAfkIya code:kUta
alphanumeric_data	alphanumeric:akRarAfkIya data:Azkade
alphanumeric_field	alphanumeric:akRarAfkIya field:kRewra
alphanumeric_instruction	alphanumeric:akRarAfkIya instruction:anuxeSa
alphanumeric_storage	alphanumeric:akRarAfkIya storage:BaNdAraNa
alteration_switch	alteration:parivarwana switch:svica
alternative_attribute	alternative:vEkalpika attribute:guNa
analog_adder	analog:anurUpa adder:yojaka
analog_channel	analog:anurUpa channel:praNAla
analog_computer	analog:anurUpa computer:aBikaliwra
analog_converter	analog:anurUpa converter:parivarwaka
analog_data	analog:anurUpa data:Azkade
analog_facility_terminal	analog:anurUpa facility:suviXA terminal:tarminala
analog_multiplier	analog:anurUpa multiplier:guNaka
analog_signal	analog:anurUpa signal:safkewa
analog_switch	analog:anurUpa switch:svica
analog_system	analog:anurUpa system:wanwra
analog_type	analog:anurUpa type:prakAra
analysis_block	analysis:viSleRaNa block:KaNdaka
analytical_engine	analytical:vESleRika engine:iMjana
ancillary_equipment	ancillary:sahAyaka equipment:upakaraNa
and_circuit	and:waWA' circuit:paripaWa
and_element	and:waWA' element:avayava
and_gate	and:waWA' gate:xvAra
and_operation	and:waWA' operation:safkriyA
answer_delay	answer:uwwara delay:vilamba
answer_lamp	answer:uwwara lamp:bawwI
answer_list	answer:uwwara list:sUcI
answer_only	answer:uwwara only:kevala
application_developer	application:anuprayoga developer:vikAsaka
application_program	application:anuprayoga program:kramAxeSa program:kramAxeSa
application_required_language	application:anuprayoga required:apekRiwa language:BARA
area_code	area:kRewra code:kUta
area_search	area:kRewra search:Koja
area_transfer	area:kRewra transfer:sWAnAnwaraNa
arithmetical_instruction	arithmetical:afkagaNiwIya instruction:anuxeSa
arithmetic_check	arithmetic:afkagaNiwIya check:jAzca
arithmetic_conversion	arithmetic:afkagaNiwIya conversion:rUpAnwara
arithmetic_data	arithmetic:afkagaNiwIya data:Azkade
